left,right
-1.6368043,2.3087656
0.44050723,0.12848295
1.1990962,-0.6274669
-0.8698542,1.5133609
0.54974306,0.09193148
0.18983576,0.3947736
0.40906093,0.148818
1.7246394,-1.2296786
2.010229,-1.3218923
0.37401402,0.19351234
0.4886287,0.14618962
0.93146217,-0.3037613
1.3231943,-0.7950833
2.0911527,-1.4543213
0.3359834,0.24798821
1.6576235,-1.0158005
0.6194542,-0.078532204
-1.2995939,1.9439473
0.35335442,0.36486417
0.46995628,0.16284333
0.36772966,0.23992978
1.2658293,-0.6857007
0.30919892,0.30569714
-1.5477996,2.2111914
0.63700557,0.06878583
0.08621612,0.48347527
-1.0630581,1.7068495
0.80691046,-0.24986587
-0.9000096,1.524723
1.0765004,-0.5640564
2.139245,-1.5108008
-1.0693283,1.885012
0.35140884,0.32541114
-0.657934,1.2675886
1.4274318,-0.7628369
-1.3127558,2.192066
-1.0248549,1.8241233
-1.4951811,2.1844642
1.6104572,-1.0716989
0.051366627,0.51208174
0.86102617,-0.29935634
0.17149034,0.53841496
0.14157465,0.43698925
0.43732744,0.348629
-0.41785115,1.0108343
0.45966658,0.11600651
-0.09822363,0.68238986
-1.0872469,1.7247131
1.538244,-0.97432035
1.3824139,-0.8517285
-1.4497828,2.084102
1.7894795,-1.2083545
0.075409025,0.52963054
-0.7792195,1.3767693
-1.5277073,2.341365
0.60051614,0.021659061
-1.5557597,2.2969124
1.9051218,-1.3600186
1.2128134,-0.70270103
-1.1302686,1.7691524
-0.08482632,0.6733648
0.9619137,-0.40188134
1.8959391,-1.3379823
-0.3763172,0.94963515
1.4695661,-0.90226924
0.98121464,-0.4701352
1.5307908,-0.9800491
-0.06578082,0.64100975
2.1979768,-1.5807666
2.216037,-1.7046444
1.1536443,-0.60567284
-0.022553176,0.6138857
1.2367496,-0.6934915
0.928721,-0.37038553
0.2713223,0.34625638
0.4648311,0.13535057
-1.4495909,2.112931
-1.6015742,2.2414105
1.6440122,-1.1461387
2.1805573,-1.6019791
1.578522,-0.9502887
0.57030904,-0.030163363
-0.72628313,1.3571874
-1.0103452,1.6377363
-1.5370944,2.2506387
0.31539223,0.30969703
-0.8218344,1.4447079
0.34737355,0.35776508
0.3027612,0.30064476
0.96176916,-0.37789148
-1.3784292,2.0170307
-1.5126946,2.3046098
-0.30461925,0.8941238
-0.75851744,1.3732216
1.3020792,-0.7632612
-1.533047,2.2335382
-1.1642907,1.9092178
-0.5716435,1.2622066
0.714407,-0.089359745
-0.7875756,1.3842864
-0.7115534,1.3228239
2.421033,-1.865724
0.15328336,0.43707633
0.71094,-0.09649144
1.0068192,-0.4254061
2.0079513,-1.4598699
-1.2087309,1.8586679
0.21219274,0.3646798
-0.8926155,1.5057557
-0.82788837,1.4675708
1.5044532,-0.98723716
-1.1653275,1.8547072
-1.5599983,2.2072399
1.444241,-0.9347752
0.30476764,0.25561333
1.722055,-1.1851428
-0.52704173,1.1221734
0.7159535,-0.19207658
0.25278217,0.35019374
2.060567,-1.4259937
-0.47195017,1.0841204
2.1599107,-1.6244011
1.1808469,-0.5425753
1.3541486,-0.7236438
1.5886261,-1.0782534
-0.60175043,1.203253
0.74192363,-0.16451527
-1.2998765,2.0123084
0.400886,0.34048414
-1.0230875,1.8274529
-0.44890237,1.0414033
0.06666502,0.5039268
-1.0423872,1.7045199
-0.6824832,1.3948351
1.6511903,-1.0685513
-0.71872663,1.3291605
0.17117998,0.42534453
-1.2793531,1.9922673
-0.93115324,1.6276429
0.29286477,0.36850953
-1.03542,1.6701028
0.29221326,0.37304032
0.99636346,-0.4890328
0.38695312,0.35892552
1.3504889,-0.8158573
2.0024836,-1.4408085
1.139271,-0.56531
-0.59904844,1.2407155
0.86601967,-0.34498876
-0.60930127,1.2025356
1.1006885,-0.46756285
1.2205107,-0.6842161
-0.77647847,1.4770522
1.868568,-1.3174654
-0.1710735,0.7562075
1.7723525,-1.2081118
-1.1341641,1.8109598
1.2671962,-0.6975936
