x,vel,angle,angle_vel
0.011206115,0.17839128,-0.021998914,-0.18501492
-0.08014678,-0.5471267,-0.036434777,0.30356386
-0.0017959311,-0.40966174,-0.048397426,0.24373242
-0.8280345,-0.53990626,-0.009993118,0.14405063
0.033801522,-0.039123733,-0.019737955,0.09276808
-0.67030287,-0.5243003,-0.001975995,0.05573375
-0.8812723,-0.52313936,-0.011363314,0.030125767
-0.9031586,-0.3742804,-0.019078366,0.0763748
-0.8773756,-0.18014456,-0.0105274,-0.19457573
-0.56242085,-0.18856291,0.011664951,-0.11337604
-0.39004362,-0.5265766,-0.00040616677,0.1059472
-0.8253178,-0.3763531,-0.0074120346,0.12208807
-0.0157818,0.1575429,0.03363545,-0.23416096
-0.02852184,-0.37863025,-0.050755635,0.17255418
-0.6434862,-0.3487466,-0.021866329,-0.061246406
-0.8136574,-0.38284802,-0.008096394,0.16086127
-0.23778802,-0.5626681,-0.0058478867,0.22049339
-0.17300288,-0.5699717,-0.011596627,0.27712357
-0.019837402,-0.1592939,-0.064974815,0.027149247
-0.58899987,-0.18959896,0.0049952245,-0.090513386
-0.5034931,-0.33070096,-0.008991941,-0.20336503
-1.4557726,-0.5187758,-0.009740698,-0.06613718
-0.20539139,-0.54333866,-0.006448187,0.21976769
0.03852962,-0.17511338,-0.055548556,0.120309785
-0.49732715,-0.40873602,-0.026971284,0.22309026
0.03560679,0.013587195,-0.039446224,-0.03094263
0.027042186,0.20736721,-0.027103504,-0.29408574
0.024340753,0.18149684,-0.032634087,-0.25360176
-0.46351776,-0.3819824,0.004813113,0.14175896
-0.014910443,0.026905961,-0.04839186,-0.06885654
-1.0067278,-0.522138,-0.006291999,0.008034567
-1.1006742,-0.32659152,-0.0056968615,-0.2940134
0.018324276,0.20611872,-0.016758448,-0.26648384
-0.703379,-0.38400924,0.000949345,0.18646987
-0.46832696,-0.37347108,0.020621194,0.058517955
-0.5853298,-0.1892064,0.014722604,-0.09918357
-0.87918466,-0.5883729,-0.0111358855,0.17409185
-0.029145682,0.21948728,-0.027530568,-0.30550832
-0.09589531,-0.40141433,-0.033616662,0.061515108
-0.82506657,-0.38266283,-0.007566465,0.1567748
-0.59279186,0.00545103,0.003184957,-0.38161615
0.022671448,0.20667154,-0.021670792,-0.27870277
0.03068616,0.1557681,-0.015840434,-0.19487609
-0.0075433557,0.20533726,0.007961776,-0.24923185
-0.42223302,-0.15818758,0.022584964,-0.25333852
-0.035754442,-0.015936848,0.028417515,0.09022985
-0.5776464,-0.3841704,0.010921924,0.19003403
-0.7227254,-0.32902735,0.0034317903,-0.24028268
-0.04256876,-0.1535688,-0.062175754,-0.09938867
-0.020535825,0.0349212,-0.060054757,-0.24600273
0.027690077,-0.21848264,-0.060210332,0.037776753
-0.2485469,-0.5698249,0.008405138,0.2738618
-1.8089411,-0.5151805,-0.007612736,-0.14544904
-0.62879,-0.20806408,-0.017916773,-0.1921453
-0.49420193,-0.16014773,0.00057058234,-0.21001767
-0.07817712,-0.57382894,-0.045349818,0.3626254
0.032482333,-0.0033549862,-0.050028153,-0.082953244
-0.44280314,-0.17630878,0.034898054,-0.2793865
-0.5180162,-0.35504386,-0.008841918,0.077686556
-0.0021428575,-0.18731384,-0.055360448,-0.03647699
-0.38341546,-0.33140686,0.0033496437,-0.18779053
0.011462177,0.15409814,0.0006652305,-0.15801832
-0.790967,-0.7187409,-0.0118751535,0.33342355
-0.06254986,-0.14999953,-0.060810592,-0.17825177
-0.48685095,-0.17920665,0.018677553,-0.21530606
0.013995307,0.2056967,-0.012247954,-0.25715968
-0.022433927,-0.21262208,-0.040502578,-0.09164635
0.018027188,-0.01570377,-0.027686877,0.08508682
-0.044061728,-0.54962546,-0.05165561,0.35899943
-1.7108012,-0.51633215,-0.009990754,-0.12004597
-0.091089316,-0.35150498,-0.030363502,-0.0003834832
-1.7211279,-0.71130955,-0.012391673,0.1694683
-0.35898912,-0.34983283,0.02325324,-0.03728066
-0.67640936,-0.18199499,0.0017333037,-0.15374874
0.03614456,-0.038586244,-0.022004118,0.080912426
0.02680488,0.011865335,-0.027244847,0.007067217
-1.2939471,-0.7249207,-0.0006760026,0.21375488
-1.4907929,-0.7135052,-0.008048218,0.21789964
-1.11808,-0.7270361,-0.024107713,0.2605141
-1.0323098,-0.5605032,-0.037803195,0.1728671
-0.22322068,-0.54321754,-0.0035516783,0.21709228
-0.38390112,-0.54599565,0.027303524,0.27845842
-1.7353541,-0.51601243,-0.009002307,-0.12709793
-0.039347176,0.17963658,0.03266905,-0.21257676
-0.83284485,-0.18112576,-0.004970273,-0.17292404
0.017773913,-0.006951084,-0.021385068,-0.0035255142
0.04505749,0.16002665,-0.03634819,-0.28896466
-0.31490347,-0.20693497,0.030495567,-0.21714509
0.009476616,0.010147745,-0.008928637,0.04495594
0.02967746,-0.20071934,-0.052633084,0.15502416
-0.8476096,-0.37596917,-0.009607886,0.11362009
-0.6017989,-0.37686473,0.0012902205,0.13336942
-0.509073,-0.38269237,0.0051343543,0.15742092
-0.10078223,-0.34083357,-0.04747499,0.020184146
-0.5179273,-0.21257362,-0.019918619,-0.09265724
