cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2
0.999546,0.030129906,0.9937171,-0.11192144,0.42857563,-0.7833197
-0.23050253,0.97307175,-0.99519163,0.09794696,-0.6181947,-1.2564461
0.46432728,0.8856637,0.18528767,-0.9826843,0.37691727,-1.6757878
0.87374306,0.48638776,0.979357,-0.20213808,2.3446276,-4.0078917
0.38022316,-0.9248948,-0.14996083,0.9886919,-2.5560057,4.3402014
0.06686806,-0.99776185,-0.6524929,0.75779486,2.8000977,1.1595238
0.7760933,-0.6306181,0.4847805,0.8746359,0.2943257,1.3280555
0.7908359,-0.61202824,-0.6554066,0.75527626,3.3760624,-3.6638517
0.5097318,0.8603333,0.83750796,0.5464251,4.28611,-6.206461
0.9982793,0.058638975,0.9515802,-0.30740047,-0.725222,1.3622646
0.9396999,0.34200025,0.46136442,-0.8872107,-2.6289103,3.1222446
-0.32940832,-0.9441876,0.43398827,0.90091854,-0.7544394,4.320838
0.7363077,0.6766468,0.57416195,-0.81874174,2.8887217,-4.1165643
0.9432522,-0.3320772,0.2300518,0.9731784,4.2526474,1.7689228
0.9699335,-0.24337004,0.4846893,0.8746864,1.8021704,-1.5577523
0.98353106,-0.1807393,0.665779,0.746149,0.7829844,-0.7298861
-0.31024668,-0.9506561,-0.2829078,0.9591471,0.9954809,2.9838345
0.10646031,0.99431694,0.18426812,-0.982876,2.275321,-5.5650883
-0.23928055,0.9709505,-0.96066576,-0.2777071,0.54233557,-2.5355213
0.26017818,-0.9655606,-0.34920245,0.9370473,-2.2034752,3.166533
0.02569048,-0.99966997,-0.851285,0.5247036,1.4112922,-0.84719515
0.99253255,0.12197985,0.9124843,-0.4091117,0.18809924,-0.7479448
0.89368504,-0.4486948,0.99231774,0.123715475,-1.249715,3.0833857
0.85720956,-0.51496774,0.35248667,0.9358168,1.0886705,0.1281487
0.72979635,-0.6836646,0.44687322,0.8945973,-3.322879,5.110309
0.10768373,0.9941852,-0.37468722,-0.92715126,0.62962765,-1.0498673
0.99334234,0.11519984,0.8327195,-0.553695,-0.21286571,0.2609926
0.76199913,0.64757806,0.44174245,-0.89714193,-2.0524971,2.1026278
0.7562322,-0.6543034,-0.9149612,0.40354177,3.360499,-1.8382046
-0.24800259,0.96875936,0.05340147,-0.9985731,-0.24958245,-3.3194356
0.98166776,0.19060005,0.9669993,-0.254779,0.0016195845,0.025534144
0.99791485,0.064544305,0.87558615,-0.483062,-0.28408143,0.5463887
0.9946464,0.10333739,0.6913724,-0.7224986,-1.6055268,1.79453
0.49847996,0.8669012,-0.016405372,-0.9998654,-0.75775653,-0.34164968
