l_tor,l_tor,l_tor,l_tor,l_tor,l_tor,no_tor,no_tor,no_tor,no_tor,no_tor,no_tor,r_tor,r_tor,r_tor,r_tor,r_tor,r_tor
cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2,cos_joint1,sin_joint1,cos_joint2,sin_joint2,ang_vel_joint1,ang_vel_joint2
0.62610257,0.10165523,0.044266578,0.008875095,0.7467603,0.810465,0.011216378,0.005444844,0.03343134,0.02368507,0.01954699,0.04922139,0.6001307,0.0957748,0.024175106,0.005825983,0.76265925,0.8482522
0.437711,0.07399543,0.07704454,0.11755417,0.44860068,0.52308613,0.12147447,0.023140585,0.020309268,0.030218882,0.12474137,0.1446695,0.36823478,0.062452357,0.07094631,0.102526404,0.3887074,0.45339215
0.48475444,0.10361537,0.10601111,0.043722097,0.5374605,0.5988784,0.08619188,0.02128934,0.030218882,0.013993248,0.074648805,0.06865948,0.43226615,0.09272569,0.0888054,0.0435043,0.5100185,0.5768812
0.48911032,0.11602962,0.07421322,0.047206797,0.46123272,0.542252,0.13377981,0.033703584,0.02194272,0.0076772296,0.1308396,0.15000544,0.41135794,0.09838833,0.06746162,0.038930632,0.40068606,0.4716868
0.52243274,0.101873025,0.054393988,0.011270827,0.49194163,0.5688228,0.14303604,0.029892191,0.016388979,0.0020145923,0.13911575,0.15719263,0.43967113,0.08466732,0.048513558,0.0077861263,0.42878145,0.49477294
0.520037,0.11232713,0.04219754,0.037406076,0.45557007,0.5500926,0.14347163,0.03207013,0.012033105,0.0077861263,0.12800828,0.14891648,0.43553305,0.09054775,0.039148428,0.03130785,0.3950234,0.4721224
0.5165523,0.0992595,0.056571927,0.0012523141,0.49477294,0.55139935,0.1410759,0.029021017,0.016933464,0.005717086,0.13998693,0.15196559,0.43466187,0.08336056,0.052216053,0.0025590765,0.42943484,0.4784384
0.46428183,0.07443102,0.08401394,0.10100185,0.5487858,0.63328975,0.08466732,0.016552325,0.021398235,0.00038113905,0.074049875,0.076227814,0.41201133,0.06506588,0.069203965,0.09729936,0.5189481,0.60563
0.6496243,0.106773384,0.043286506,0.009038441,0.7838397,0.84977674,0.024229554,0.012305347,0.03446586,0.021017097,0.07699009,0.11025809,0.63835347,0.10369705,0.022813896,0.005717086,0.8221714,0.9111129
0.42420778,0.087934226,0.07181749,0.12495916,0.43858215,0.54617226,0.116900794,0.02542742,0.018675813,0.030763367,0.1235435,0.15000544,0.35320702,0.07051072,0.06528368,0.106664486,0.38021344,0.4686377
0.42398998,0.07878689,0.094903626,0.11428727,0.48519003,0.5566264,0.1133072,0.021507133,0.02194272,0.02575411,0.11973211,0.13889797,0.35865185,0.06942176,0.082707174,0.10121965,0.43161276,0.49564412
0.5457367,0.09969509,0.06702603,0.046553414,0.5794947,0.6602962,0.09081999,0.026080802,0.023957312,0.014701078,0.072579764,0.07639116,0.47952738,0.08597408,0.058749866,0.046553414,0.53310466,0.6178264
0.5799303,0.102961995,0.033703584,0.00974627,0.63416094,0.68163997,0.09724491,0.017260155,0.021343788,0.022596102,0.09185451,0.07960361,0.5564086,0.099150605,0.014755527,0.013884352,0.65561366,0.72095174
0.58515733,0.1028531,0.035119243,0.008439507,0.6460307,0.6925297,0.05820538,0.009582925,0.023521725,0.027932048,0.039475117,0.020418163,0.56011105,0.09904171,0.015735598,0.013122073,0.66323644,0.72803
0.53332245,0.097081564,0.07660895,0.020418163,0.55379504,0.5792769,0.11178264,0.022160513,0.018240226,0.022051618,0.102526404,0.09446804,0.46384624,0.08444953,0.062452357,0.01845802,0.507405,0.5313623
0.5564086,0.0748666,0.024338452,0.082053795,0.60671896,0.64483285,0.09697267,0.014864423,0.019655885,0.0019601437,0.08080148,0.07742568,0.5352826,0.07421322,0.005717086,0.08728085,0.6242513,0.6807688
0.5694762,0.08771643,0.029129913,0.011270827,0.5871175,0.6500599,0.09414135,0.022813896,0.018566918,0.024447348,0.07372318,0.07633671,0.5001089,0.07530219,0.02575411,0.004410323,0.53963846,0.60965914
0.6117282,0.11058477,0.040890776,0.005499292,0.70646846,0.7642927,0.06256125,0.009909616,0.022759447,0.030273331,0.047206797,0.028422084,0.5936513,0.1096047,0.024556246,0.004628117,0.7417511,0.8216814
0.43814656,0.07704454,0.08749864,0.12670152,0.43596864,0.5235217,0.1203855,0.023249483,0.023249483,0.031634543,0.12147447,0.1447784,0.36583906,0.062452357,0.07791571,0.107753456,0.38086683,0.45382774
0.44860068,0.07922248,0.10121965,0.12191005,0.5113253,0.60628337,0.103397585,0.020527061,0.022269411,0.020853752,0.1028531,0.11798976,0.38413373,0.06898617,0.089676574,0.10840684,0.45644125,0.5455189
0.50283134,0.06593706,0.07268866,0.08357835,0.63350755,0.73587066,0.08559294,0.015354459,0.025536317,0.0023412828,0.078242406,0.07737123,0.46090603,0.060056627,0.05983883,0.08412284,0.6105303,0.7229119
0.46145052,0.10579331,0.077262335,0.04982032,0.45949036,0.5246107,0.12572144,0.03098116,0.02335838,0.008439507,0.12985952,0.14445171,0.38718283,0.089458786,0.07159969,0.041326363,0.3980725,0.45535228
0.46036154,0.10535773,0.07878689,0.048295762,0.46079713,0.52308613,0.12593924,0.030872265,0.02303169,0.0087661985,0.12996842,0.14510508,0.3854405,0.08836982,0.07116411,0.03827725,0.40090385,0.45382774
0.4442448,0.07944027,0.07334205,0.12125667,0.45644125,0.5357182,0.11831646,0.02020037,0.022704998,0.03032778,0.12125667,0.13868017,0.37389743,0.06833279,0.06724382,0.10426876,0.40133944,0.4723402
0.5922356,0.055265162,0.0043014265,0.07628226,0.74512684,0.784003,0.06071001,0.0075138845,0.028367637,0.00871175,0.033703584,0.027224218,0.5788413,0.053196125,0.0156267,0.07856909,0.7885767,0.8507568
0.6147773,0.060383316,0.0032124578,0.066590436,0.7955461,0.83562016,0.044429924,0.004355875,0.03201568,0.006098225,0.0017423499,0.009964064,0.58493954,0.05640858,0.02128934,0.06321464,0.8143853,0.8756942
0.5165523,0.09751715,0.05613634,0.00038113905,0.49564412,0.5522705,0.1410759,0.028803224,0.016933464,0.005499292,0.14009583,0.15196559,0.43400848,0.081618205,0.0504737,0.0034302515,0.43161276,0.4790918
0.48453665,0.07181749,0.08575629,0.03130785,0.48823914,0.4686377,0.12887946,0.022269411,0.020091474,0.012795383,0.12125667,0.11809866,0.41092235,0.062887944,0.07225308,0.030872265,0.43444407,0.41745618
0.42115867,0.0888054,0.07443102,0.12234564,0.43814656,0.54747903,0.11744528,0.027932048,0.020418163,0.03065447,0.122781225,0.15229228,0.35451376,0.07399543,0.06833279,0.106664486,0.37890667,0.47125122
0.5413808,0.10100185,0.013013177,0.101873025,0.6415659,0.6744528,0.07954916,0.017042361,0.024175106,0.0001633453,0.06533813,0.061200045,0.4751715,0.08913209,0.007895024,0.097626045,0.5911467,0.63307196
0.43901774,0.08009365,0.05962104,0.09882391,0.4655886,0.54747903,0.122127846,0.02477404,0.01497332,0.02477404,0.12964173,0.15218338,0.36954156,0.0678972,0.05613634,0.08706305,0.40264618,0.47451812
0.58472174,0.099150605,0.029674398,0.093270175,0.7216051,0.7973974,0.0749755,0.014864423,0.025155177,0.0007622781,0.059022106,0.05678972,0.5668627,0.09849723,0.014428836,0.091201134,0.74872047,0.84705436
0.4372754,0.07399543,0.07704454,0.11755417,0.4481651,0.52265054,0.12158336,0.02303169,0.020091474,0.030109987,0.12452357,0.1447784,0.3677992,0.062452357,0.07072852,0.1027442,0.3884896,0.45339215
0.5180769,0.06506588,0.066590436,0.14717412,0.6010563,0.6748884,0.09103779,0.018131329,0.02471959,0.016879015,0.07911358,0.09343352,0.45186758,0.055482958,0.058749866,0.13105738,0.55270606,0.6250136
0.51611674,0.09838833,0.055700753,0.00081672653,0.49520853,0.55183494,0.14118479,0.02891212,0.016933464,0.005499292,0.14009583,0.15207449,0.43400848,0.081618205,0.050255906,0.0032124578,0.43139496,0.4793096
0.5311445,0.09185451,0.07181749,0.019329196,0.5860285,0.6219645,0.09109224,0.026189698,0.02406621,0.014319939,0.072525315,0.077262335,0.46449962,0.07813351,0.06397691,0.018675813,0.53985626,0.57862353
0.42507896,0.09054775,0.07051072,0.123216815,0.44947186,0.55836874,0.116900794,0.026734183,0.019982576,0.032505717,0.12626593,0.15468802,0.3577807,0.07769792,0.06397691,0.10731787,0.3889252,0.48344767
0.65158445,0.11755417,0.03522814,0.014537733,0.7704998,0.8401938,0.030600023,0.0062615704,0.026951976,0.027932048,0.0016879016,0.02684308,0.6243602,0.110421434,0.015898943,0.011107481,0.7849831,0.8761298
0.6010563,0.022378307,0.0748666,0.03239682,0.63111186,0.63285416,0.09893281,0.012958728,0.024338452,0.028694326,0.08129152,0.07116411,0.52918434,0.017151257,0.06375912,0.022378307,0.5803659,0.59953177
0.57056516,0.09838833,0.030872265,0.005608189,0.6302407,0.6659588,0.095393665,0.019220298,0.02542742,0.019819232,0.08341501,0.07453991,0.54029185,0.09501252,0.015953392,0.010835239,0.63764566,0.6908962
0.4372754,0.0748666,0.07748013,0.11755417,0.4477295,0.52265054,0.12136557,0.02303169,0.02020037,0.030109987,0.12452357,0.1446695,0.3675814,0.06267015,0.07072852,0.102526404,0.3884896,0.45317435
