left,left,left,left,right,right,right,right
x,vel,angle,angle_vel,x,vel,angle,angle_vel
0.029338697,0.39938483,0.695611,0.9008636,0.043475688,0.40843487,0.73515314,0.9249083
0.0721933,0.3679463,0.682243,0.8651958,0.088548444,0.37667102,0.7101029,0.90104103
0.088208325,0.35568732,0.6239205,0.83029693,0.10697386,0.3578611,0.6642908,0.87167275
0.05453685,0.3547853,0.69939667,0.8529516,0.07512126,0.3679167,0.7253638,0.89554006
0.07228203,0.3676801,0.62072635,0.8195907,0.09008636,0.3722347,0.6565125,0.83650774
0.012303324,0.38057494,0.73133796,0.9248787,0.009345794,0.40163255,0.765527,0.9810718
0.010173903,0.38555837,0.68551105,0.892272,0.010706258,0.40580267,0.7355377,0.95750034
0.09983142,0.34274814,0.5778422,0.79451084,0.12125873,0.3418313,0.608009,0.8277239
0.078906894,0.36827162,0.6833077,0.8811073,0.10067432,0.36614218,0.7037738,0.905359
0.07223767,0.36787233,0.6823465,0.8651662,0.08857802,0.37661186,0.7099846,0.9011297
0.07240033,0.3676801,0.6206081,0.8194724,0.09008636,0.37229386,0.65668994,0.83650774
0.012244173,0.3806341,0.73133796,0.9248196,0.009345794,0.40151426,0.7655862,0.9807761
0.012303324,0.38069326,0.73133796,0.9248787,0.009227493,0.40163255,0.765527,0.9808352
0.058795694,0.34413818,0.6934816,0.8486928,0.08221933,0.34934342,0.71513075,0.88785046
0.0595055,0.38069326,0.68744826,0.8783864,0.08352064,0.38666746,0.7125281,0.9081983
0.054655153,0.3547853,0.69939667,0.8529516,0.07518041,0.36785758,0.7254229,0.8954809
0.04459955,0.35910326,0.70986634,0.8677984,0.056962024,0.3748965,0.7376671,0.9268307
0.07228203,0.3676801,0.62084466,0.819709,0.09014551,0.37217554,0.65663075,0.8363894
0.049213298,0.37761742,0.6919437,0.85283333,0.052614458,0.39592454,0.7302437,0.89406127
0.061753225,0.38044187,0.68245,0.8782976,0.080607474,0.3815066,0.7025021,0.8919466
0.05542411,0.36695555,0.6797439,0.8698243,0.08115462,0.36454514,0.7004318,0.89589494
0.044008043,0.38861942,0.69927835,0.899444,0.061043415,0.38938838,0.71655035,0.91074175
0.048621792,0.32331717,0.6110257,0.79924285,0.06246303,0.31006745,0.6110257,0.8010174
0.049302023,0.37788358,0.734887,0.9139063,0.051579323,0.39855674,0.7708506,0.9701881
0.054655153,0.3547853,0.69939667,0.8529516,0.07523956,0.3679167,0.72518635,0.89542174
0.0616645,0.38051578,0.68245,0.8783568,0.080762744,0.38163966,0.7025021,0.89197624
0.051224418,0.3777357,0.6856737,0.8742754,0.07393824,0.38317758,0.7105761,0.90358454
0.06293624,0.38010174,0.68011355,0.8704602,0.083875544,0.38051578,0.69584763,0.87028277
0.0721933,0.36787233,0.6823613,0.8651662,0.088548444,0.37649354,0.7100142,0.90107065
0.061753225,0.38053057,0.68245,0.87828285,0.0808145,0.38144743,0.7024281,0.89205015
0.054655153,0.3547853,0.69939667,0.8529516,0.07523956,0.36779842,0.7254229,0.89542174
0.07228203,0.36756182,0.62084466,0.819709,0.09008636,0.37211642,0.6564533,0.8363894
0.07240033,0.3676801,0.62072635,0.8194724,0.090027206,0.3722347,0.6565716,0.8365669
0.06151662,0.38104814,0.6838992,0.87637526,0.08056311,0.3820537,0.70398086,0.890039
0.08900686,0.31604165,0.5429877,0.73138237,0.10996096,0.3117532,0.56820065,0.7473974
0.07229682,0.36788714,0.682376,0.8651514,0.088666745,0.3765527,0.70995504,0.90115935
0.06182716,0.38051578,0.68242043,0.87828285,0.0806962,0.38155094,0.70251685,0.89193183
0.06435585,0.38631254,0.69747424,0.91109663,0.083638944,0.38796878,0.7194191,0.9296847
0.091328524,0.36909974,0.6215545,0.87625694,0.08718798,0.38719982,0.6708861,0.8769668
0.061427895,0.38101858,0.6840175,0.876464,0.08044481,0.3820537,0.70406955,0.8900982
0.038447887,0.3875547,0.6952561,0.96711224,0.03359754,0.40281558,0.7353602,0.9745061
0.06435585,0.386209,0.6974151,0.9111114,0.083757244,0.38793918,0.71944875,0.9298474
0.046374068,0.36933634,0.67999524,0.9212114,0.038447887,0.39136994,0.72607356,0.9459068
0.0591506,0.35951734,0.67064947,0.82834494,0.078906894,0.37187982,0.70117116,0.87489647
0.06281793,0.38022003,0.67999524,0.8703419,0.083816394,0.38051578,0.69596595,0.87028277
